('Country', 'Min Order(Rs)', 'Ma Order(Rs)')
('Sri Lanka', 2206.71, 6463910.46)
('Algeria', 4739.64, 6559738.32)
('Ethiopia', 2468.4, 6655300.93)
('The Bahamas', 2230.15, 6480214.19)
('Belgium', 3350.93, 6674012.49)
('Canada', 4711.65, 6676017.3)
('Indonesia', 5067.26, 6395533.41)
('Italy', 2310.9, 6471526.68)
('Burundi', 327.84, 6137391.68)
('Ghana', 494.49, 6666661.52)
('The Gambia', 1026.3, 6587137.39)
('Antigua and Barbuda ', 1565.85, 6471526.68)
('Zambia', 1156.92, 6382646.77)
('Latvia', 7758.88, 6435440.1)
('Kiribati', 615.78, 6370787.43)
('Croatia', 2239.2, 6567089.29)
('Turkey', 298.56, 6302410.38)
('Oman', 2845.65, 6337204.41)
('Kenya', 653.1, 5703016.18)
('Switzerland', 3759.99, 6498925.75)
('New Zealand', 905.01, 6578449.88)
('Central African Republic', 7566.63, 6594488.36)
('Tuvalu', 7273.97, 6628570.13)
('Syria', 770.3, 6300456.75)
('Equatorial Guinea', 6713.52, 6474981.03)
('Jordan', 4480.48, 6366608.29)
('Nepal', 3732.0, 6223598.51)
('Kosovo', 5314.4, 6559738.32)
('Germany', 2230.15, 6549046.0)
('Liberia', 7354.75, 6344739.03)
('Cambodia', 3235.26, 6523651.74)
('Mongolia', 655.68, 6525656.55)
('Georgia', 2136.57, 5992434.42)
('Tanzania', 877.02, 6410045.84)
('Kuwait', 391.86, 6155888.13)
('Hungary', 3256.05, 6578449.88)
('Democratic Republic of the Congo', 2004.81, 6578449.88)
('United Arab Emirates', 1539.45, 6523651.74)
('Saint Lucia', 4650.1, 6164122.48)
('Tajikistan', 949.0, 6285079.35)
('Palau', 2136.57, 6153934.5)
("Cote d'Ivoire", 4842.27, 6465864.09)
('Lesotho', 1708.2, 6639262.45)
('Tonga', 770.3, 6539690.22)
('Papua New Guinea', 4480.48, 5698087.5)
('Mauritania', 419.85, 6233382.12)
('Uzbekistan', 4581.03, 6277664.4)
('Zimbabwe', 20106.15, 6596493.17)
('Serbia', 7687.92, 6368833.8)
('United States of America', 5793.93, 6392002.55)
('Somalia', 8070.45, 6630574.94)
('Russia', 167.94, 6525656.55)
('Madagascar', 6129.75, 6287084.16)
('Cuba', 4480.48, 6666661.52)
('Estonia', 2230.15, 6489569.97)
('Japan', 270.57, 5869415.41)
('Lebanon', 1632.75, 6621219.16)
('Sudan', 11755.8, 6408041.03)
('Seychelles ', 18.66, 6525656.55)
('Guinea', 4581.03, 6648618.23)
('Libya', 770.3, 6508192.74)
('Portugal', 14534.24, 6484097.97)
('Moldova ', 5439.39, 5950105.77)
('Cyprus', 6325.74, 6489569.97)
('Iran', 1708.2, 5897357.76)
('Saint Kitts and Nevis ', 3278.4, 6612531.65)
('Sierra Leone', 2612.4, 6103140.12)
('Brunei', 3051.6, 6136351.83)
('Vietnam', 2894.45, 6087511.08)
('France', 1144.22, 6344739.03)
('Togo', 998.31, 6474981.03)
